UT;SO;DI;DE;ID;NR;TC;Z9;U1;PU;PI;SN;EI;J9;JI;SC;OA;subject
WOS:000450852300003;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-02-2018-0015;"Heritage; Digital humanities; Digital archive; Company archives; Fashion exhibitions; Fashion museum";"MUSEUM; KNOWLEDGE";52;0;0;2;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;NA;Charms
WOS:000450852300003;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-02-2018-0015;"Heritage; Digital humanities; Digital archive; Company archives; Fashion exhibitions; Fashion museum";"MUSEUM; KNOWLEDGE";52;0;0;2;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;NA;Defence against the dark arts
WOS:000450852300004;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-03-2018-0023;"Industry 4.0; Digital transformation; Design driven companies; Fashion business models; Fashion design processes; Fashion innovation";TECHNOLOGY;56;3;3;19;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;Green Accepted;Divination
WOS:000450852300004;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-03-2018-0023;"Industry 4.0; Digital transformation; Design driven companies; Fashion business models; Fashion design processes; Fashion innovation";TECHNOLOGY;56;3;3;19;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;Green Accepted;Charms
WOS:000450852300004;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-03-2018-0023;"Industry 4.0; Digital transformation; Design driven companies; Fashion business models; Fashion design processes; Fashion innovation";TECHNOLOGY;56;3;3;19;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;Green Accepted;Transfiguration
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Defence against the dark arts
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Herbology
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Potions
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Transfiguration
WOS:000486141000004;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.04;"quantitative studies; macroanalysis; distant reading; statistical analysis; sociology of literature";NA;22;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Defence against the dark arts
WOS:000486141000004;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.04;"quantitative studies; macroanalysis; distant reading; statistical analysis; sociology of literature";NA;22;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Transfiguration
WOS:000486141000004;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.04;"quantitative studies; macroanalysis; distant reading; statistical analysis; sociology of literature";NA;22;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Arithmancy
WOS:000469113700001;JOURNAL OF LIBRARY AND INFORMATION STUDIES;10.6182/jlis.201812_16(2).001;"Domain Analysis; Digital Humanities; International Conference of Digital Archives and Digital Humanities (Taipei, Taiwan)";INFORMATION-SCIENCE;19;0;0;3;NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE;TAIPEI;1606-7509;2309-9119;J LIBR INFORM STUD;J. Libr. Inf. Stud.;Information Science & Library Science;DOAJ Gold;Defence against the dark arts
WOS:000469113700001;JOURNAL OF LIBRARY AND INFORMATION STUDIES;10.6182/jlis.201812_16(2).001;"Domain Analysis; Digital Humanities; International Conference of Digital Archives and Digital Humanities (Taipei, Taiwan)";INFORMATION-SCIENCE;19;0;0;3;NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE;TAIPEI;1606-7509;2309-9119;J LIBR INFORM STUD;J. Libr. Inf. Stud.;Information Science & Library Science;DOAJ Gold;Astronomy
WOS:000469113700001;JOURNAL OF LIBRARY AND INFORMATION STUDIES;10.6182/jlis.201812_16(2).001;"Domain Analysis; Digital Humanities; International Conference of Digital Archives and Digital Humanities (Taipei, Taiwan)";INFORMATION-SCIENCE;19;0;0;3;NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE;TAIPEI;1606-7509;2309-9119;J LIBR INFORM STUD;J. Libr. Inf. Stud.;Information Science & Library Science;DOAJ Gold;Transfiguration
WOS:000469113700001;JOURNAL OF LIBRARY AND INFORMATION STUDIES;10.6182/jlis.201812_16(2).001;"Domain Analysis; Digital Humanities; International Conference of Digital Archives and Digital Humanities (Taipei, Taiwan)";INFORMATION-SCIENCE;19;0;0;3;NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE;TAIPEI;1606-7509;2309-9119;J LIBR INFORM STUD;J. Libr. Inf. Stud.;Information Science & Library Science;DOAJ Gold;Charms
WOS:000466129600016;TECHNOETIC ARTS;10.1386/tear.16.3.377_1;"mixed reality; agency; Qi; anthropocosmic; HCI aesthetics; phenomenology";NA;16;0;0;2;INTELLECT LTD;BRISTOL;1477-965X;1758-9533;TECHNOETIC ARTS;Technoetic Arts;Arts & Humanities - Other Topics;NA;Astronomy
WOS:000461467600012;INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL;NA;NA;"HUMANITIES SCHOLARS; SEEKING; COMMUNICATION; LITERACY; SCIENCE";65;2;2;3;UNIV SHEFFIELD DEPT INFORMATION STUDIES;SHEFFIELD;1368-1613;NA;INFORM RES;Inf. Res.;Information Science & Library Science;DOAJ Gold;Transfiguration
WOS:000461467600012;INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL;NA;NA;"HUMANITIES SCHOLARS; SEEKING; COMMUNICATION; LITERACY; SCIENCE";65;2;2;3;UNIV SHEFFIELD DEPT INFORMATION STUDIES;SHEFFIELD;1368-1613;NA;INFORM RES;Inf. Res.;Information Science & Library Science;DOAJ Gold;Transfiguration
WOS:000460210100005;INTERNATIONAL JOURNAL OF BUDDHIST THOUGHT & CULTURE;10.16893/IJBTC.2018.12.28.2.87;"3DCG Reconstruction; Un-representability of the Past; Historical Past; Practical Past; Buddhist Practice of Visualization";NA;32;0;0;4;DONGGUK UNIV, ACAD BUDDHIST STUDIES;SEOUL;1598-7914;NA;INT J BUDDH THOUGHT;Int. J. Buddh. Thought Cult.;Religion;NA;Arithmancy
WOS:000460210100005;INTERNATIONAL JOURNAL OF BUDDHIST THOUGHT & CULTURE;10.16893/IJBTC.2018.12.28.2.87;"3DCG Reconstruction; Un-representability of the Past; Historical Past; Practical Past; Buddhist Practice of Visualization";NA;32;0;0;4;DONGGUK UNIV, ACAD BUDDHIST STUDIES;SEOUL;1598-7914;NA;INT J BUDDH THOUGHT;Int. J. Buddh. Thought Cult.;Religion;NA;Charms
WOS:000460210100005;INTERNATIONAL JOURNAL OF BUDDHIST THOUGHT & CULTURE;10.16893/IJBTC.2018.12.28.2.87;"3DCG Reconstruction; Un-representability of the Past; Historical Past; Practical Past; Buddhist Practice of Visualization";NA;32;0;0;4;DONGGUK UNIV, ACAD BUDDHIST STUDIES;SEOUL;1598-7914;NA;INT J BUDDH THOUGHT;Int. J. Buddh. Thought Cult.;Religion;NA;Divination
WOS:000458492300007;TYDSKRIF VIR GEESTESWETENSKAPPE;10.17159/2224-7912/2018/v58n4-2a7;"educational psychology; psychotherapist; aesthetic disposition; ontological grounding; self-transformation; digital-media culture; apathy; attentive presence; empathic sensitiveness; artistry";NA;39;0;0;0;SUID-AFRIKAANSE AKAD VIR WETENSKAP EN KUNS, SEKRETARIS;PRETORIA;0041-4751;NA;TYDSKR GEESTESWET;Tydskr. Geesteswet.;Social Issues;Bronze, Other Gold;Charms
WOS:000457944000011;JOURNAL OF POPULAR MUSIC STUDIES;10.1525/jpms.2018.300411;"Popular music; lyrics; data science; sentiment analysis; Billboard; tone analyzer";"SELF-REPORT; POP-MUSIC; EMOTION; OBJECTIFICATION; CLASSIFICATION; IMPLICIT; GENDER; TRENDS; GENRE; MODEL";42;1;1;4;UNIV CALIFORNIA PRESS;OAKLAND;1524-2226;1533-1598;J POP MUSIC STUD;J. Pop. Music Stud.;Music;NA;Defence against the dark arts
WOS:000457148000005;ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;10.1145/3230670;"Maya glyphs; shape recognition; convolutional neural networks; transfer learning; crowdsourcing";LANGUAGE;46;1;1;3;ASSOC COMPUTING MACHINERY;NEW YORK;1556-4673;1556-4711;ACM J COMPUT CULT HE;ACM J. Comput. Cult. Herit.;"Arts & Humanities - Other Topics; Computer Science";Green Published;Herbology
WOS:000457148000005;ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;10.1145/3230670;"Maya glyphs; shape recognition; convolutional neural networks; transfer learning; crowdsourcing";LANGUAGE;46;1;1;3;ASSOC COMPUTING MACHINERY;NEW YORK;1556-4673;1556-4711;ACM J COMPUT CULT HE;ACM J. Comput. Cult. Herit.;"Arts & Humanities - Other Topics; Computer Science";Green Published;Transfiguration
WOS:000456219600005;MUTTERSPRACHE;NA;NA;NA;48;0;0;0;GESELLSCHAFT DEUTSCHE SPRACHE;WIESBADEN;0027-514X;NA;MUTTERSPRACHE;Muttersprache;Linguistics;NA;Arithmancy
WOS:000456219600005;MUTTERSPRACHE;NA;NA;NA;48;0;0;0;GESELLSCHAFT DEUTSCHE SPRACHE;WIESBADEN;0027-514X;NA;MUTTERSPRACHE;Muttersprache;Linguistics;NA;Transfiguration
WOS:000452524700003;BERICHTE ZUR WISSENSCHAFTSGESCHICHTE;10.1002/bewi.201801941;"history of science; New Economy; digital humanities; history";NA;0;0;0;0;WILEY-V C H VERLAG GMBH;WEINHEIM;0170-6233;1522-2365;BER WISSGESCH;Ber. Wissgesch.;History & Philosophy of Science;Bronze;Transfiguration
WOS:000452524700003;BERICHTE ZUR WISSENSCHAFTSGESCHICHTE;10.1002/bewi.201801941;"history of science; New Economy; digital humanities; history";NA;0;0;0;0;WILEY-V C H VERLAG GMBH;WEINHEIM;0170-6233;1522-2365;BER WISSGESCH;Ber. Wissgesch.;History & Philosophy of Science;Bronze;Defence against the dark arts
WOS:000452524700003;BERICHTE ZUR WISSENSCHAFTSGESCHICHTE;10.1002/bewi.201801941;"history of science; New Economy; digital humanities; history";NA;0;0;0;0;WILEY-V C H VERLAG GMBH;WEINHEIM;0170-6233;1522-2365;BER WISSGESCH;Ber. Wissgesch.;History & Philosophy of Science;Bronze;Arithmancy
WOS:000452524700003;BERICHTE ZUR WISSENSCHAFTSGESCHICHTE;10.1002/bewi.201801941;"history of science; New Economy; digital humanities; history";NA;0;0;0;0;WILEY-V C H VERLAG GMBH;WEINHEIM;0170-6233;1522-2365;BER WISSGESCH;Ber. Wissgesch.;History & Philosophy of Science;Bronze;Transfiguration
WOS:000452749800008;DIGITAL SCHOLARSHIP IN THE HUMANITIES;10.1093/llc/fqy008;NA;NA;38;0;0;1;OXFORD UNIV PRESS;OXFORD;2055-7671;2055-768X;DIGIT SCHOLARSH HUM;Digit. Scholarsh. Humanit.;"Arts & Humanities - Other Topics; Linguistics";NA;Astronomy
WOS:000451875100069;DILEMAS CONTEMPORANEOS-EDUCACION POLITICA Y VALORES;NA;"green economy; digital economy; the index of eco-efficiency; digital technology; ecosystem; green economy; digital economy; the index of eco-efficiency; digital technology; ecosystem";NA;10;0;0;0;ASESORIA & TUTORIAS INVESTIGACION CIENTIFICA EDUCACION;EDO DE MEXICO;2007-7890;NA;DILEMAS CONTEMP-EDUC;Dilemas Contemp.-Educ. Politica Valores;Education & Educational Research;DOAJ Gold;Defence against the dark arts
WOS:000451875100069;DILEMAS CONTEMPORANEOS-EDUCACION POLITICA Y VALORES;NA;"green economy; digital economy; the index of eco-efficiency; digital technology; ecosystem; green economy; digital economy; the index of eco-efficiency; digital technology; ecosystem";NA;10;0;0;0;ASESORIA & TUTORIAS INVESTIGACION CIENTIFICA EDUCACION;EDO DE MEXICO;2007-7890;NA;DILEMAS CONTEMP-EDUC;Dilemas Contemp.-Educ. Politica Valores;Education & Educational Research;DOAJ Gold;Transfiguration
WOS:000448793900002;FUDAN JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES;10.1007/s40647-018-0230-2;"KWIC; Keyword-in-Context; History of computing; Digital humanities; Peter luhn; Knowledge society";NA;22;0;0;0;SPRINGER HEIDELBERG;HEIDELBERG;1674-0750;2198-2600;FUDAN J HUM SOC SCI;Fudan J. Hum. Soc. Sci.;Social Sciences - Other Topics;NA;Divination
WOS:000444842900005;IEEE TRANSACTIONS ON IMAGE PROCESSING;10.1109/TIP.2018.2865674;"Digital image forensics; digital humanities; image retrieval; graphs; image provenance; image phylogeny";"PRODUCT QUANTIZATION; FORGERY DETECTION; FEATURES; SIMILARITY; ALGORITHMS; TRACKING";62;3;3;2;IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC;PISCATAWAY;1057-7149;1941-0042;IEEE T IMAGE PROCESS;IEEE Trans. Image Process.;"Computer Science; Engineering";NA;Transfiguration
WOS:000444842900005;IEEE TRANSACTIONS ON IMAGE PROCESSING;10.1109/TIP.2018.2865674;"Digital image forensics; digital humanities; image retrieval; graphs; image provenance; image phylogeny";"PRODUCT QUANTIZATION; FORGERY DETECTION; FEATURES; SIMILARITY; ALGORITHMS; TRACKING";62;3;3;2;IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC;PISCATAWAY;1057-7149;1941-0042;IEEE T IMAGE PROCESS;IEEE Trans. Image Process.;"Computer Science; Engineering";NA;Charms
WOS:000444842900005;IEEE TRANSACTIONS ON IMAGE PROCESSING;10.1109/TIP.2018.2865674;"Digital image forensics; digital humanities; image retrieval; graphs; image provenance; image phylogeny";"PRODUCT QUANTIZATION; FORGERY DETECTION; FEATURES; SIMILARITY; ALGORITHMS; TRACKING";62;3;3;2;IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC;PISCATAWAY;1057-7149;1941-0042;IEEE T IMAGE PROCESS;IEEE Trans. Image Process.;"Computer Science; Engineering";NA;Potions
WOS:000451808700005;LIBRI;10.1515/libri-2018-0033;"knowledge and skills; competencies; academic libraries; humanities librarians; postgraduate students";PROFESSIONALS;41;0;0;5;WALTER DE GRUYTER GMBH;BERLIN;0024-2667;1865-8423;LIBRI;Libri;Information Science & Library Science;NA;Divination
WOS:000452222500001;MANAGEMENT RESEARCH AND PRACTICE;NA;"Digital Democracy; Digital Divide; Digital Humanity; Government Digitization";FRAMEWORK;48;0;0;0;RESEARCH CENTER PUBLIC ADM & PUBLIC SERVICE;BUCHAREST;2067-2462;NA;MANAG RES PRACT;Manag. Res. Pract.;Business & Economics;NA;Astronomy
WOS:000452222500001;MANAGEMENT RESEARCH AND PRACTICE;NA;"Digital Democracy; Digital Divide; Digital Humanity; Government Digitization";FRAMEWORK;48;0;0;0;RESEARCH CENTER PUBLIC ADM & PUBLIC SERVICE;BUCHAREST;2067-2462;NA;MANAG RES PRACT;Manag. Res. Pract.;Business & Economics;NA;Transfiguration
WOS:000452222500001;MANAGEMENT RESEARCH AND PRACTICE;NA;"Digital Democracy; Digital Divide; Digital Humanity; Government Digitization";FRAMEWORK;48;0;0;0;RESEARCH CENTER PUBLIC ADM & PUBLIC SERVICE;BUCHAREST;2067-2462;NA;MANAG RES PRACT;Manag. Res. Pract.;Business & Economics;NA;Herbology
WOS:000448793900003;FUDAN JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES;10.1007/s40647-018-0222-2;"Fluidity; Immateriality; Modernity; Algorithms; Social memory";NA;25;0;0;0;SPRINGER HEIDELBERG;HEIDELBERG;1674-0750;2198-2600;FUDAN J HUM SOC SCI;Fudan J. Hum. Soc. Sci.;Social Sciences - Other Topics;Other Gold;Arithmancy
WOS:000448793900003;FUDAN JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES;10.1007/s40647-018-0222-2;"Fluidity; Immateriality; Modernity; Algorithms; Social memory";NA;25;0;0;0;SPRINGER HEIDELBERG;HEIDELBERG;1674-0750;2198-2600;FUDAN J HUM SOC SCI;Fudan J. Hum. Soc. Sci.;Social Sciences - Other Topics;Other Gold;Transfiguration
WOS:000448793900003;FUDAN JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES;10.1007/s40647-018-0222-2;"Fluidity; Immateriality; Modernity; Algorithms; Social memory";NA;25;0;0;0;SPRINGER HEIDELBERG;HEIDELBERG;1674-0750;2198-2600;FUDAN J HUM SOC SCI;Fudan J. Hum. Soc. Sci.;Social Sciences - Other Topics;Other Gold;Charms
WOS:000448793900003;FUDAN JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES;10.1007/s40647-018-0222-2;"Fluidity; Immateriality; Modernity; Algorithms; Social memory";NA;25;0;0;0;SPRINGER HEIDELBERG;HEIDELBERG;1674-0750;2198-2600;FUDAN J HUM SOC SCI;Fudan J. Hum. Soc. Sci.;Social Sciences - Other Topics;Other Gold;Herbology
WOS:000467626400007;JOURNAL OF CHINESE LITERATURE AND CULTURE;10.1215/23290048-7257028;"Geographical Information Systems (GIS); Tang poetry; literary history; digital humanities; chronological geography";NA;8;0;0;3;DUKE UNIV PRESS;DURHAM;2329-0048;2329-0056;J CHIN LIT CULT;J. Chin. Lit. Cult.;"Asian Studies; Literature";NA;Transfiguration
WOS:000467626400007;JOURNAL OF CHINESE LITERATURE AND CULTURE;10.1215/23290048-7257028;"Geographical Information Systems (GIS); Tang poetry; literary history; digital humanities; chronological geography";NA;8;0;0;3;DUKE UNIV PRESS;DURHAM;2329-0048;2329-0056;J CHIN LIT CULT;J. Chin. Lit. Cult.;"Asian Studies; Literature";NA;Divination
WOS:000467626400009;JOURNAL OF CHINESE LITERATURE AND CULTURE;10.1215/23290048-7257054;"electronic textual research; big data; digital humanities; historiography; classical allusions";NA;37;0;0;0;DUKE UNIV PRESS;DURHAM;2329-0048;2329-0056;J CHIN LIT CULT;J. Chin. Lit. Cult.;"Asian Studies; Literature";NA;Transfiguration
WOS:000467626400009;JOURNAL OF CHINESE LITERATURE AND CULTURE;10.1215/23290048-7257054;"electronic textual research; big data; digital humanities; historiography; classical allusions";NA;37;0;0;0;DUKE UNIV PRESS;DURHAM;2329-0048;2329-0056;J CHIN LIT CULT;J. Chin. Lit. Cult.;"Asian Studies; Literature";NA;Divination
WOS:000467626400009;JOURNAL OF CHINESE LITERATURE AND CULTURE;10.1215/23290048-7257054;"electronic textual research; big data; digital humanities; historiography; classical allusions";NA;37;0;0;0;DUKE UNIV PRESS;DURHAM;2329-0048;2329-0056;J CHIN LIT CULT;J. Chin. Lit. Cult.;"Asian Studies; Literature";NA;Defence against the dark arts
WOS:000467626400009;JOURNAL OF CHINESE LITERATURE AND CULTURE;10.1215/23290048-7257054;"electronic textual research; big data; digital humanities; historiography; classical allusions";NA;37;0;0;0;DUKE UNIV PRESS;DURHAM;2329-0048;2329-0056;J CHIN LIT CULT;J. Chin. Lit. Cult.;"Asian Studies; Literature";NA;Transfiguration
WOS:000462919900006;METHODS OF INFORMATION IN MEDICINE;10.1055/s-0038-1675822;"intelligent assistant; patient empowerment; self-anamnesis; patient safety; AIML; conversational user interface";"HISTORY-TAKING; MUSIC-THERAPY; TRIAL; PAPER; PAIN";32;0;0;6;GEORG THIEME VERLAG KG;STUTTGART;0026-1270;2511-705X;METHOD INFORM MED;Methods Inf. Med.;"Computer Science; Health Care Sciences & Services; Medical Informatics";NA;Astronomy
WOS:000462919900006;METHODS OF INFORMATION IN MEDICINE;10.1055/s-0038-1675822;"intelligent assistant; patient empowerment; self-anamnesis; patient safety; AIML; conversational user interface";"HISTORY-TAKING; MUSIC-THERAPY; TRIAL; PAPER; PAIN";32;0;0;6;GEORG THIEME VERLAG KG;STUTTGART;0026-1270;2511-705X;METHOD INFORM MED;Methods Inf. Med.;"Computer Science; Health Care Sciences & Services; Medical Informatics";NA;Divination
WOS:000462919900006;METHODS OF INFORMATION IN MEDICINE;10.1055/s-0038-1675822;"intelligent assistant; patient empowerment; self-anamnesis; patient safety; AIML; conversational user interface";"HISTORY-TAKING; MUSIC-THERAPY; TRIAL; PAPER; PAIN";32;0;0;6;GEORG THIEME VERLAG KG;STUTTGART;0026-1270;2511-705X;METHOD INFORM MED;Methods Inf. Med.;"Computer Science; Health Care Sciences & Services; Medical Informatics";NA;Potions
WOS:000462919900006;METHODS OF INFORMATION IN MEDICINE;10.1055/s-0038-1675822;"intelligent assistant; patient empowerment; self-anamnesis; patient safety; AIML; conversational user interface";"HISTORY-TAKING; MUSIC-THERAPY; TRIAL; PAPER; PAIN";32;0;0;6;GEORG THIEME VERLAG KG;STUTTGART;0026-1270;2511-705X;METHOD INFORM MED;Methods Inf. Med.;"Computer Science; Health Care Sciences & Services; Medical Informatics";NA;Charms
WOS:000456801300002;ZEITSCHRIFT FUR RELIGIONS-UND GEISTESGESCHICHTE;10.1163/15700739-07004003;NA;NA;9;0;0;0;BRILL ACADEMIC PUBLISHERS;LEIDEN;0044-3441;NA;Z RELIG GEISTESGESCH;Z. Relig.-Geistesgesch.;Religion;NA;Transfiguration
WOS:000456801300008;ZEITSCHRIFT FUR RELIGIONS-UND GEISTESGESCHICHTE;10.1163/15700739-07004009;NA;NA;12;0;0;1;BRILL ACADEMIC PUBLISHERS;LEIDEN;0044-3441;NA;Z RELIG GEISTESGESCH;Z. Relig.-Geistesgesch.;Religion;NA;Potions
WOS:000456801300008;ZEITSCHRIFT FUR RELIGIONS-UND GEISTESGESCHICHTE;10.1163/15700739-07004009;NA;NA;12;0;0;1;BRILL ACADEMIC PUBLISHERS;LEIDEN;0044-3441;NA;Z RELIG GEISTESGESCH;Z. Relig.-Geistesgesch.;Religion;NA;Herbology
WOS:000456801300008;ZEITSCHRIFT FUR RELIGIONS-UND GEISTESGESCHICHTE;10.1163/15700739-07004009;NA;NA;12;0;0;1;BRILL ACADEMIC PUBLISHERS;LEIDEN;0044-3441;NA;Z RELIG GEISTESGESCH;Z. Relig.-Geistesgesch.;Religion;NA;Astronomy
WOS:000456801300008;ZEITSCHRIFT FUR RELIGIONS-UND GEISTESGESCHICHTE;10.1163/15700739-07004009;NA;NA;12;0;0;1;BRILL ACADEMIC PUBLISHERS;LEIDEN;0044-3441;NA;Z RELIG GEISTESGESCH;Z. Relig.-Geistesgesch.;Religion;NA;Charms
WOS:000456658300004;IEEE COMPUTER GRAPHICS AND APPLICATIONS;10.1109/MCG.2018.2874556;NA;NA;0;0;0;3;IEEE COMPUTER SOC;LOS ALAMITOS;0272-1716;1558-1756;IEEE COMPUT GRAPH;IEEE Comput. Graph. Appl.;Computer Science;NA;Potions
WOS:000456658300005;IEEE COMPUTER GRAPHICS AND APPLICATIONS;10.1109/MCG.2018.2878900;NA;NA;20;0;0;2;IEEE COMPUTER SOC;LOS ALAMITOS;0272-1716;1558-1756;IEEE COMPUT GRAPH;IEEE Comput. Graph. Appl.;Computer Science;NA;Defence against the dark arts
WOS:000456658300005;IEEE COMPUTER GRAPHICS AND APPLICATIONS;10.1109/MCG.2018.2878900;NA;NA;20;0;0;2;IEEE COMPUTER SOC;LOS ALAMITOS;0272-1716;1558-1756;IEEE COMPUT GRAPH;IEEE Comput. Graph. Appl.;Computer Science;NA;Potions
WOS:000456658300005;IEEE COMPUTER GRAPHICS AND APPLICATIONS;10.1109/MCG.2018.2878900;NA;NA;20;0;0;2;IEEE COMPUTER SOC;LOS ALAMITOS;0272-1716;1558-1756;IEEE COMPUT GRAPH;IEEE Comput. Graph. Appl.;Computer Science;NA;Astronomy
WOS:000456658300005;IEEE COMPUTER GRAPHICS AND APPLICATIONS;10.1109/MCG.2018.2878900;NA;NA;20;0;0;2;IEEE COMPUTER SOC;LOS ALAMITOS;0272-1716;1558-1756;IEEE COMPUT GRAPH;IEEE Comput. Graph. Appl.;Computer Science;NA;Divination
WOS:000454403700001;CARACTERES-ESTUDIOS CULTURALES Y CRITICOS DE LA ESFERA DIGITAL;NA;NA;NA;0;0;0;1;EDITORIAL DELIRIO;SALAMANCA;2254-4496;NA;CARACTERES;Caracteres;Arts & Humanities - Other Topics;DOAJ Gold;Arithmancy
WOS:000454403700001;CARACTERES-ESTUDIOS CULTURALES Y CRITICOS DE LA ESFERA DIGITAL;NA;NA;NA;0;0;0;1;EDITORIAL DELIRIO;SALAMANCA;2254-4496;NA;CARACTERES;Caracteres;Arts & Humanities - Other Topics;DOAJ Gold;Potions
WOS:000454403700004;CARACTERES-ESTUDIOS CULTURALES Y CRITICOS DE LA ESFERA DIGITAL;NA;"Content analysis; flamenco; Twitter; music; strategic communication";STRATEGIES;27;0;0;0;EDITORIAL DELIRIO;SALAMANCA;2254-4496;NA;CARACTERES;Caracteres;Arts & Humanities - Other Topics;DOAJ Gold;Arithmancy
WOS:000450934300001;ARTNODES;10.7238/a.v0i22.3263;NA;NA;4;0;0;1;UNIV OBERTA CATALUNYA;BARCELONA;1695-5951;NA;ARTNODES;Artnodes;Arts & Humanities - Other Topics;Bronze;Defence against the dark arts
WOS:000450934300007;ARTNODES;10.7238/a.v0i22.3218;"digital humanities; history of architecture; information technologies; geographic information system; graphs";NA;34;0;0;2;UNIV OBERTA CATALUNYA;BARCELONA;1695-5951;NA;ARTNODES;Artnodes;Arts & Humanities - Other Topics;Bronze;Defence against the dark arts
